iter	Passed	Remaining
0	172	171997
1	172	86220
2	173	57607
3	173	43293
4	174	34707
5	174	28980
6	175	24889
7	176	21824
8	176	19437
9	177	17527
10	177	15965
11	178	14662
12	178	13560
13	179	12617
14	179	11799
15	180	11082
16	180	10450
17	181	9897
18	182	9397
19	182	8952
20	183	8546
21	183	8175
22	184	7838
23	185	7529
24	185	7245
25	186	6981
26	186	6737
27	187	6512
28	188	6301
29	188	6103
30	189	5919
31	189	5746
32	190	5583
33	191	5430
34	191	5288
35	192	5151
36	192	5022
37	193	4901
38	194	4786
39	194	4678
40	195	4574
41	196	4475
42	196	4381
43	197	4289
44	198	4202
45	198	4119
46	199	4039
47	199	3962
48	200	3888
49	200	3817
50	201	3749
51	202	3683
52	202	3620
53	203	3559
54	203	3501
55	204	3445
56	204	3390
57	205	3338
58	206	3287
59	206	3238
60	207	3190
61	207	3144
62	208	3100
63	209	3057
64	209	3015
65	210	2975
66	210	2935
67	211	2893
68	211	2856
69	212	2819
70	212	2784
71	213	2750
72	213	2717
73	214	2685
74	215	2653
75	215	2622
76	216	2592
77	216	2563
78	217	2534
79	218	2507
80	218	2479
81	219	2453
82	219	2427
83	220	2402
84	220	2375
85	221	2351
86	221	2325
87	222	2302
88	222	2281
89	223	2259
90	224	2238
91	224	2217
92	225	2196
93	225	2176
94	226	2156
95	226	2137
96	227	2118
97	228	2099
98	228	2081
99	229	2063
100	229	2046
101	230	2026
102	230	2009
103	231	1992
104	231	1976
105	232	1960
106	232	1944
107	233	1928
108	234	1913
109	234	1898
110	235	1883
111	235	1869
112	236	1855
113	237	1842
114	237	1828
115	238	1814
116	238	1800
117	239	1787
118	239	1774
119	240	1761
120	240	1749
121	241	1736
122	241	1722
123	242	1711
124	242	1699
125	243	1687
126	243	1676
127	244	1663
128	244	1652
129	245	1642
130	245	1631
131	246	1621
132	247	1610
133	247	1600
134	248	1590
135	248	1580
136	249	1570
137	249	1560
138	250	1552
139	251	1543
140	251	1533
141	252	1524
142	252	1515
143	253	1507
144	254	1498
145	254	1489
146	255	1481
147	255	1472
148	256	1464
149	256	1456
150	257	1448
151	258	1440
152	258	1432
153	259	1424
154	259	1416
155	260	1408
156	260	1401
157	261	1393
158	262	1386
159	262	1379
160	263	1371
161	263	1364
162	264	1358
163	265	1352
164	265	1345
165	266	1338
166	266	1331
167	267	1325
168	268	1318
169	268	1312
170	269	1305
171	269	1299
172	270	1293
173	271	1287
174	271	1280
175	272	1274
176	272	1268
177	273	1262
178	273	1256
179	274	1250
180	274	1243
181	275	1237
182	275	1232
183	276	1226
184	277	1220
185	277	1215
186	278	1210
187	279	1205
188	279	1199
189	280	1194
190	280	1189
191	281	1184
192	281	1178
193	282	1173
194	283	1168
195	283	1163
196	284	1158
197	284	1153
198	285	1148
199	285	1143
200	286	1139
201	287	1134
202	287	1129
203	288	1124
204	288	1120
205	289	1115
206	289	1110
207	290	1106
208	291	1101
209	291	1097
210	292	1093
211	293	1089
212	293	1084
213	294	1080
214	294	1076
215	295	1071
216	295	1067
217	296	1063
218	297	1059
219	297	1055
220	298	1051
221	298	1046
222	299	1042
223	299	1038
224	300	1035
225	301	1031
226	301	1027
227	302	1023
228	302	1019
229	303	1015
230	303	1011
231	304	1007
232	305	1004
233	305	1000
234	306	997
235	306	993
236	307	990
237	308	986
238	308	982
239	309	979
240	309	975
241	310	972
242	310	968
243	311	965
244	312	961
245	312	958
246	313	954
247	313	951
248	314	948
249	314	944
250	315	941
251	316	938
252	316	934
253	317	931
254	317	928
255	318	925
256	318	922
257	319	918
258	320	915
259	320	912
260	321	909
261	321	906
262	322	903
263	323	900
264	323	897
265	324	894
266	324	891
267	325	888
268	325	885
269	326	882
270	327	879
271	327	876
272	328	873
273	328	871
274	329	868
275	329	865
276	330	862
277	331	859
278	331	856
279	332	854
280	332	851
281	333	848
282	333	846
283	334	843
284	335	841
285	335	838
286	336	835
287	336	833
288	337	830
289	338	827
290	338	825
291	339	822
292	339	820
293	340	817
294	341	814
